Timestamp,Algorithm,Objective_Type,Tuning_Profile,Trajectory_Type,Controller_Type,GS_Method,T_Max,Setpoint_Pitch,Setpoint_Yaw,Disturbance_Wind_P,Disturbance_Wind_Y,Disturbance_Sensor_Noise,Disturbance_Payload,Iterations,Best_Cost,Kp_pitch,Ki_pitch,Kd_pitch,Kp_yaw,Ki_yaw,Kd_yaw,Execution_Time_sec,Pitch_RiseTime,Pitch_SettlingTime,Pitch_Overshoot,Pitch_SSE,Pitch_CE,Pitch_ITAE,Yaw_RiseTime,Yaw_SettlingTime,Yaw_Overshoot,Yaw_SSE,Yaw_CE,Yaw_ITAE
2026-07-04 15:30:00,PSO,default_objective,balanced,step,classic,,20.0,0.436,0.52,0.0,0.0,0.0,1.0,50.0,0.0075092980908661,51.85532035357243,11.570782162008904,10.895336580964797,51.4927472977231,53.69943622552876,15.76140001380626,241.8394284248352,0.6300000000000003,0.8700000000000006,0.0,1.8061271986336005e-06,56.57702035440021,0.0432930768813945,0.4700000000000002,2.569999999999989,19.231121967190173,1.59522683951252e-09,21.97201294348184,0.2648690686589359
2026-07-04 15:30:00,TPE,default_objective,balanced,step,classic,,20.0,0.436,0.52,0.0,0.0,0.0,1.0,75.0,0.0081207846810535,64.75469437092269,54.36128089515535,12.073478150706611,83.36619334566473,85.21869948437447,30.885050927782697,16.665750741958618,0.4000000000000002,1.8600000000000008,8.68290949139917,9.366174502645208e-12,59.2300908677768,0.1144969936039807,0.5300000000000002,2.7399999999999856,18.510570994291147,1.816347072747249e-11,22.82300518213553,0.2994809592699358
2026-07-04 15:30:00,CMA-ES,default_objective,balanced,step,classic,,20.0,0.436,0.52,0.0,0.0,0.0,1.0,50.0,0.0080678855427236,48.04652345833888,38.19131684956167,5.897447491212452,85.35978773028899,80.0716659242513,32.62045730323915,10.507195711135864,0.3400000000000002,1.2000000000000008,5.560359410896833,1.5659479268848029e-10,59.1580121563166,0.0726563753935212,0.5500000000000003,2.899999999999982,17.82848795767765,4.6136761078230386e-11,22.41657489885716,0.3234320098693874
2026-07-04 15:30:00,GWO,default_objective,balanced,step,classic,,20.0,0.436,0.52,0.0,0.0,0.0,1.0,50.0,0.0069970572641483,19.56720637461757,11.21067361689589,1.780742620280126,23.82583700131853,24.94880842877276,4.751914172522098,202.94478034973145,0.6300000000000003,0.8900000000000006,0.0980555341682494,2.4353676852939543e-09,55.33127680985477,0.0511619867118973,0.4200000000000002,2.429999999999992,21.075304086056622,5.3621773687950736e-11,18.001345086087166,0.2477042498906294
2026-07-04 15:38:01,PSO,time_domain_objective,balanced,step,classic,,20.0,0.436,0.52,0.0,0.0,0.0,1.0,50.0,0.2978923955624269,55.71563782258667,71.0253146914106,1.4008219961308377,54.14836695950456,19.32964640589388,1.645614656116777,208.0198585987091,0.12,0.3300000000000001,7.3755408872096755,1.1158199642036236e-08,71.94162268955907,0.0138218253622899,0.16,0.6000000000000003,19.08333744389972,9.127069446335234e-06,63.043484956502354,0.1215302643973592
2026-07-04 15:38:01,TPE,time_domain_objective,balanced,step,classic,,20.0,0.436,0.52,0.0,0.0,0.0,1.0,75.0,0.3022793666845231,95.85136710328328,52.26345271173945,0.2604260711371431,92.57689700720272,80.32593986699376,10.490064097630594,24.55445957183838,0.0799999999999999,0.4000000000000002,17.524145122322025,2.24663973036332e-07,95.52418197700794,0.0563944073281414,0.2300000000000001,1.2500000000000009,7.866127933286,9.17049436388595e-10,46.737956950248325,0.0878928670034692
2026-07-04 15:38:01,CMA-ES,time_domain_objective,balanced,step,classic,,20.0,0.436,0.52,0.0,0.0,0.0,1.0,50.0,0.4439381140792553,94.87674625614872,51.87686635742932,16.363618853741457,97.65245523781294,35.800993083800805,34.12173436782695,11.879470825195312,0.4000000000000002,1.2200000000000009,5.035961456894513,2.731362520047576e-07,61.378738455439006,0.1287012612757184,0.6400000000000003,3.6799999999999655,8.95799000528646,1.9155602253961845e-05,22.516056362603724,0.6203926423533754
2026-07-04 15:38:01,GWO,time_domain_objective,balanced,step,classic,,20.0,0.436,0.52,0.0,0.0,0.0,1.0,50.0,0.2811820958509389,100.0,100.0,0.0,100.0,100.0,0.1730618462631592,221.6797561645508,0.0799999999999999,0.4400000000000002,25.212524500892187,1.760491752378357e-11,106.00039203420386,0.0209909340112413,0.13,0.8800000000000006,33.42294010500363,1.6420642623415915e-11,143.8925099770398,0.040503301290438
2026-07-04 15:48:25,PSO,time_domain_objective,aggressive,step,classic,,20.0,0.436,0.52,0.0,0.0,0.0,1.0,50.0,0.4284735330029403,90.26783027265373,28.55308474938809,5.845227536262343,55.06133318572057,41.40050981606948,7.220788223053944,358.94993472099304,0.2,0.3000000000000001,0.0,6.647434305673272e-06,69.00973920484466,0.0494819028696692,0.2700000000000001,1.8300000000000007,10.845343440849916,1.5232427652556172e-08,35.678005697897426,0.1565250662650753
2026-07-04 15:48:25,TPE,time_domain_objective,aggressive,step,classic,,20.0,0.436,0.52,0.0,0.0,0.0,1.0,75.0,0.317638592788401,93.52197303910728,76.46326422968991,1.697185090711669,48.7259981212228,91.63379040189798,3.980936656074205,15.835140466690063,0.0899999999999999,0.24,8.145131605866684,2.488260153477029e-10,84.7754993237332,0.0134042333872631,0.19,1.0700000000000007,24.89622435024462,1.455613407586043e-12,47.80069206170268,0.0552796856377093
