Algorithm,Pitch_RiseTime_Mean,Pitch_SettlingTime_Mean,Pitch_Overshoot_Mean,Pitch_SSE_Mean,Pitch_CE_Mean,Pitch_ITAE_Mean,Yaw_RiseTime_Mean,Yaw_SettlingTime_Mean,Yaw_Overshoot_Mean,Yaw_SSE_Mean,Yaw_CE_Mean,Yaw_ITAE_Mean,Pitch_RiseTime_Max,Pitch_SettlingTime_Max,Pitch_Overshoot_Max,Pitch_SSE_Max,Pitch_CE_Max,Pitch_ITAE_Max,Yaw_RiseTime_Max,Yaw_SettlingTime_Max,Yaw_Overshoot_Max,Yaw_SSE_Max,Yaw_CE_Max,Yaw_ITAE_Max
CMA-ES,1.0500000000000007,5.159999999999934,20.78868322447354,0.0032974931942166,6116.608974743304,1.331997121719619,0.17,0.6300000000000003,17.64029288185089,6.887224190210706e-05,62.29629408118,0.1599465309815874,1.0500000000000007,5.159999999999934,20.78868322447354,0.0032974931942166,6116.608974743304,1.331997121719619,0.17,0.6300000000000003,17.64029288185089,6.887224190210706e-05,62.29629408118,0.1599465309815874
GWO,0.0799999999999999,0.4400000000000002,25.229705369879955,2.2525988296884236e-09,105.93341801257908,0.0209192753262509,0.13,0.8700000000000006,33.63041945472583,2.16679199527281e-05,139.22994892756648,0.0426989884146435,0.0799999999999999,0.4400000000000002,25.229705369879955,2.2525988296884236e-09,105.93341801257908,0.0209192753262509,0.13,0.8700000000000006,33.63041945472583,2.16679199527281e-05,139.22994892756648,0.0426989884146435
LQR Decentralized,0.3700000000000002,0.9700000000000006,5.150548817634922,7.438494264988549e-15,57.15184820034517,0.0596177829724261,0.3700000000000003,1.9500000000000013,30.00510198768007,3.064215547965432e-14,28.878784245182946,0.2159704161295581,0.3700000000000002,0.9700000000000006,5.150548817634922,7.438494264988549e-15,57.15184820034517,0.0596177829724261,0.3700000000000003,1.9500000000000013,30.00510198768007,3.064215547965432e-14,28.878784245182946,0.2159704161295581
MIMO LQR,0.3900000000000002,1.300000000000001,6.325044098487977,6.106226635438361e-16,56.83257863632701,0.0624691721680913,0.3700000000000003,1.9600000000000013,30.294342034516568,2.0206059048177852e-14,28.7302351365214,0.2186975802281786,0.3900000000000002,1.300000000000001,6.325044098487977,6.106226635438361e-16,56.83257863632701,0.0624691721680913,0.3700000000000003,1.9600000000000013,30.294342034516568,2.0206059048177852e-14,28.7302351365214,0.2186975802281786
PSO,0.2,0.3000000000000001,0.0,6.647434305673272e-06,69.00973920484466,0.0494819028696692,0.2700000000000001,1.8300000000000007,10.845343440849916,1.5232427652556172e-08,35.678005697897426,0.1565250662650753,0.2,0.3000000000000001,0.0,6.647434305673272e-06,69.00973920484466,0.0494819028696692,0.2700000000000001,1.8300000000000007,10.845343440849916,1.5232427652556172e-08,35.678005697897426,0.1565250662650753
TPE,0.0899999999999999,0.24,8.145131605866684,2.488260153477029e-10,84.7754993237332,0.0134042333872631,0.19,1.0700000000000007,24.89622435024462,1.455613407586043e-12,47.80069206170268,0.0552796856377093,0.0899999999999999,0.24,8.145131605866684,2.488260153477029e-10,84.7754993237332,0.0134042333872631,0.19,1.0700000000000007,24.89622435024462,1.455613407586043e-12,47.80069206170268,0.0552796856377093
