Objective_Type,Tuning_Profile,Controller_Type,GS_Method,Iteration,PSO_Cost,PSO_Time,TPE_Cost,TPE_Time,CMA-ES_Cost,CMA-ES_Time,GWO_Cost,GWO_Time
default_objective,balanced,classic,None,1,0.009131124752767433,4.890367746353149,0.04326434393999066,0.387402,0.20053882814281432,0.453623,0.008564144543396497,4.027601000008872
default_objective,balanced,classic,None,2,0.00844324014098409,8.62421441078186,0.037549788465172075,0.562606,0.018917749003500215,0.39198,0.008384106780479773,8.399066300014965
default_objective,balanced,classic,None,3,0.00813990770987831,12.024130821228027,0.02802024890249962,0.667896,0.018917749003500215,1.311455,0.008017406236503797,12.566052800015314
default_objective,balanced,classic,None,4,0.00813990770987831,15.509459733963013,0.02802024890249962,0.910621,0.014439791175202995,2.319099,0.008017406236503797,16.685507900023367
default_objective,balanced,classic,None,5,0.00813990770987831,19.122430324554443,0.02802024890249962,2.402923,0.011820804306139226,3.624007,0.007671532932794927,20.905128900019918
default_objective,balanced,classic,None,6,0.008087193249132874,22.472880125045776,0.02802024890249962,2.097422,0.011820804306139226,1.442064,0.007671532932794927,25.664763700013282
default_objective,balanced,classic,None,7,0.008087193249132874,26.505500078201294,0.02802024890249962,1.630145,0.011820804306139226,2.542825,0.007671532932794927,30.080784900012077
default_objective,balanced,classic,None,8,0.008087193249132874,30.46234393119812,0.02802024890249962,1.906655,0.011820804306139226,1.821707,0.007671532932794927,34.269905800014385
default_objective,balanced,classic,None,9,0.008087193249132874,34.2151300907135,0.014812479005124888,2.645718,0.011820804306139226,2.06919,0.007671532932794927,38.31196230000933
default_objective,balanced,classic,None,10,0.008087193249132874,37.86321449279785,0.014812479005124888,2.519101,0.011820804306139226,2.400466,0.007671532932794927,42.186957099998835
default_objective,balanced,classic,None,11,0.008087193249132874,41.7194447517395,0.014812479005124888,2.823783,0.011820804306139226,3.886832,0.007671532932794927,46.006442400001106
default_objective,balanced,classic,None,12,0.008087193249132874,45.43454313278198,0.012173591257914769,2.31242,0.011820804306139226,4.622495,0.007668204356172882,49.86074910000025
default_objective,balanced,classic,None,13,0.008087193249132874,48.92630076408386,0.012173591257914769,2.791673,0.011820804306139226,3.316458,0.007668204356172882,53.78109220000624
default_objective,balanced,classic,None,14,0.008087193249132874,52.47023272514343,0.012173591257914769,3.137653,0.01159852151359344,2.953616,0.007668204356172882,57.67339810001431
default_objective,balanced,classic,None,15,0.008087193249132874,56.42430591583252,0.011009701584459818,3.26043,0.01159852151359344,5.021465,0.007668204356172882,61.58329960000992
default_objective,balanced,classic,None,16,0.008087193249132874,62.06081819534302,0.011009701584459818,3.677166,0.01159852151359344,3.224681,0.007518477932174177,65.58470680001483
default_objective,balanced,classic,None,17,0.007886679960533658,66.69410705566406,0.011009701584459818,3.651146,0.01159852151359344,4.052478,0.007518477932174177,69.45725500001572
default_objective,balanced,classic,None,18,0.007886679960533658,74.77260780334473,0.011009701584459818,3.908233,0.01159852151359344,3.894414,0.007518477932174177,73.67110500001581
default_objective,balanced,classic,None,19,0.007886679960533658,81.42552495002747,0.009695897391192851,4.126187,0.01159852151359344,4.69381,0.0074694296605367526,77.9450843000086
default_objective,balanced,classic,None,20,0.007886679960533658,87.74293208122253,0.009695897391192851,4.397185,0.01159852151359344,3.867127,0.0074694296605367526,82.01618130001589
default_objective,balanced,classic,None,21,0.007886679960533658,93.0876989364624,0.009695897391192851,5.231342,0.01159852151359344,5.797671,0.007441185561529999,85.92413170001237
default_objective,balanced,classic,None,22,0.007886679960533658,98.28303003311157,0.009695897391192851,4.826233,0.01159852151359344,4.472757,0.007441185561529999,89.88269480000599
default_objective,balanced,classic,None,23,0.007835619614536939,102.568608045578,0.009695897391192851,5.933056,0.01159852151359344,4.995439,0.007402402110911203,93.98108830001729
default_objective,balanced,classic,None,24,0.007835619614536939,108.83554816246033,0.009695897391192851,5.010648,0.01159852151359344,6.022799,0.00734039319656458,97.80720470001688
default_objective,balanced,classic,None,25,0.007835619614536939,117.14470338821411,0.009695897391192851,5.447933,0.01159852151359344,6.334796,0.007315267364518237,101.78179360002105
default_objective,balanced,classic,None,26,0.007782502967786115,123.19032883644104,0.009695897391192851,5.823528,0.010778958065079489,5.772146,0.0071850522071724016,105.68506920002983
default_objective,balanced,classic,None,27,0.007782502967786115,129.80525135993958,0.009695897391192851,5.427726,0.009233858662205215,6.787206,0.0071850522071724016,109.58394600002794
default_objective,balanced,classic,None,28,0.007782502967786115,135.30854606628418,0.009695897391192851,6.212414,0.008577323518048829,6.365129,0.007125631138927441,113.42535010003485
default_objective,balanced,classic,None,29,0.007509298090866164,141.8720817565918,0.009695897391192851,6.40629,0.008577323518048829,6.08072,0.007125631138927441,117.23794830002589
default_objective,balanced,classic,None,30,0.007509298090866164,147.91242623329163,0.009695897391192851,6.642533,0.008577323518048829,6.600421,0.00711489307821271,121.13556030002655
default_objective,balanced,classic,None,31,0.007509298090866164,153.35794305801392,0.009695897391192851,6.880213,0.008577323518048829,6.810149,0.00711489307821271,125.01918130002741
default_objective,balanced,classic,None,32,0.007509298090866164,158.38702058792114,0.009695897391192851,7.121971,0.008577323518048829,7.032351,0.007083725534316499,128.87511200002336
default_objective,balanced,classic,None,33,0.007509298090866164,162.94459509849548,0.009695897391192851,7.53372,0.008577323518048829,8.241303,0.007083725534316499,132.70914590002212
default_objective,balanced,classic,None,34,0.007509298090866164,167.4527084827423,0.008990983429796427,7.913396,0.008577323518048829,8.899187,0.007066215925999739,136.56937690002087
default_objective,balanced,classic,None,35,0.007509298090866164,172.3564522266388,0.008990983429796427,8.458812,0.008577323518048829,8.080123,0.007066215925999739,140.4162632000225
default_objective,balanced,classic,None,36,0.007509298090866164,176.68615198135376,0.008725585019590242,7.863404,0.008577323518048829,8.564327,0.00702942302226968,144.38446280002245
default_objective,balanced,classic,None,37,0.007509298090866164,181.83182287216187,0.008725585019590242,8.771993,0.008577323518048829,8.579428,0.00702942302226968,148.2108759000257
default_objective,balanced,classic,None,38,0.007509298090866164,186.2415852546692,0.008725585019590242,8.642307,0.008067885542723639,8.44513,0.00702942302226968,152.11463560003904
default_objective,balanced,classic,None,39,0.007509298090866164,191.14451837539673,0.008725585019590242,7.997333,0.008067885542723639,8.549038,0.00702942302226968,155.98392710003827
