Scenario,Metric,LQR_Pitch,AI-PID_Pitch,LQR_Yaw,AI-PID_Yaw
Asymmetric Step Test,RMSE (rad),0.11183161670923898,0.12813586951589476,0.03558346804983618,0.06933039097885119
Asymmetric Step Test,Max Error (rad),0.8778554738657498,0.8727,0.14927022448248037,0.1761434563831176
Multi-step Trajectory Tracking,RMSE (rad),0.27648304625107106,0.3213302716002151,0.03936140515306444,0.05810768042277978
Multi-step Trajectory Tracking,Max Error (rad),1.7073831936216637,1.8016361946210928,0.11982136990566516,0.194911471433378
Sine Trajectory Tracking,RMSE (rad),0.1647220400901998,0.12802794226472064,0.028823761880795648,0.0855432404153508
Sine Trajectory Tracking,Max Error (rad),0.29396213932935744,0.2533756900538203,0.08973813691166822,0.19873742415775145
