Iteration,GA_Cost,PSO_Cost,TPE_Cost
1,0.037953748166764376,0.06085779776053743,0.05387429353084176
2,0.02609359368156498,0.03604621130300467,0.05387429353084176
3,0.020426056463728123,0.013963151329414256,0.05387429353084176
4,0.01903780713729193,0.012573298406670867,0.024201496826332283
5,0.01903780713729193,0.012573298406670867,0.024201496826332283
