Iteration,GA_Cost,PSO_Cost,TPE_Cost,CMA-ES_Cost,GWO_Cost
1,0.4694429104352792,0.4080205168387044,0.425545056854139,1.3642419992965813,0.39390148312317735
2,0.4694429104352792,0.4080205168387044,0.425545056854139,0.8248247963935244,0.3936945560681918
3,0.4694429104352792,0.4080205168387044,0.425545056854139,0.557427479148854,0.3936945560681918
4,0.45247415006715136,0.4080205168387044,0.425545056854139,0.557427479148854,0.3936945560681918
5,0.45247415006715136,0.4070049973569929,0.425545056854139,0.557427479148854,0.3936867021056188
6,0.45247415006715136,0.4070049973569929,0.425545056854139,0.5188596443369926,0.3936867021056188
7,0.45181616132180086,0.40074784000367647,0.425545056854139,0.5188596443369926,0.3936867021056188
8,0.45181616132180086,0.40074784000367647,0.425545056854139,0.5188596443369926,0.3936867021056188
9,0.45181616132180086,0.40074784000367647,0.425545056854139,0.5188596443369926,0.39365832419136326
10,0.45181616132180086,0.3997661331983438,0.425545056854139,0.47445105063108317,0.39365832419136326
11,0.45181616132180086,0.3997661331983438,0.425545056854139,0.47445105063108317,0.3936506583345996
12,0.44893632547688056,0.3997661331983438,0.425545056854139,0.44949926739973733,0.3936506583345996
13,0.4410370040055086,0.3997661331983438,0.425545056854139,0.44949926739973733,0.3936506583345996
14,0.4410370040055086,0.3997661331983438,0.425545056854139,0.44949926739973733,0.3936506583345996
15,0.44023919503814435,0.39570694173776266,0.425545056854139,0.44949926739973733,0.39362115045005486
16,0.4398821475923162,0.39570694173776266,0.425545056854139,0.44949926739973733,0.39362115045005486
17,0.43742556572479396,0.39570694173776266,0.425545056854139,0.44949926739973733,0.39362115045005486
18,0.43742556572479396,0.39570694173776266,0.425545056854139,0.44949926739973733,0.3935975145419481
19,0.4353660238674264,0.39570694173776266,0.425545056854139,0.44949926739973733,0.3935975145419481
20,0.4353660238674264,0.39570694173776266,0.425545056854139,0.44949926739973733,0.3935975145419481
21,0.43480048714496433,0.39570694173776266,0.425545056854139,0.44949926739973733,0.3935912441767555
22,0.42964917377804795,0.39570694173776266,0.425545056854139,0.44949926739973733,0.3935617625995064
