Algorithm,Pitch_RiseTime_Base(Conf 1),Pitch_SettlingTime_Base(Conf 1),Pitch_Overshoot_Base(Conf 1),Pitch_SSE_Base(Conf 1),Pitch_CE_Base(Conf 1),Pitch_ITAE_Base(Conf 1),Yaw_RiseTime_Base(Conf 1),Yaw_SettlingTime_Base(Conf 1),Yaw_Overshoot_Base(Conf 1),Yaw_SSE_Base(Conf 1),Yaw_CE_Base(Conf 1),Yaw_ITAE_Base(Conf 1),Pitch_RiseTime_Worst(Conf 7),Pitch_SettlingTime_Worst(Conf 7),Pitch_Overshoot_Worst(Conf 7),Pitch_SSE_Worst(Conf 7),Pitch_CE_Worst(Conf 7),Pitch_ITAE_Worst(Conf 7),Yaw_RiseTime_Worst(Conf 7),Yaw_SettlingTime_Worst(Conf 7),Yaw_Overshoot_Worst(Conf 7),Yaw_SSE_Worst(Conf 7),Yaw_CE_Worst(Conf 7),Yaw_ITAE_Worst(Conf 7),Pitch_RiseTime_Delta,Pitch_SettlingTime_Delta,Pitch_Overshoot_Delta,Pitch_SSE_Delta,Pitch_CE_Delta,Pitch_ITAE_Delta,Yaw_RiseTime_Delta,Yaw_SettlingTime_Delta,Yaw_Overshoot_Delta,Yaw_SSE_Delta,Yaw_CE_Delta,Yaw_ITAE_Delta
CMA-ES,0.13,0.3,8.69023715509402,7.188694084447889e-15,75.8308113663021,0.011823972374113999,0.28,1.31,19.712571662008006,9.858780458671391e-14,45.48539847348868,0.11872955004193106,0.12,,33.342369491527435,0.05328002358915325,762.511145146232,7.699696596816573,0.29000000000000004,,36.183869893702685,0.1226794511351393,1828.599308501629,9.212468818162158,-0.010000000000000009,,24.652132336433418,0.05328002358914606,686.6803337799299,7.687872624442459,0.010000000000000009,,16.47129823169468,0.12267945113504071,1783.1139100281403,9.093739268120228
GWO,0.0799999999999999,0.38,17.764173295336377,4.2299497238218464e-14,85.47700804723252,0.00590255956900505,0.14,0.46,18.7499718956768,7.698841564263148e-13,90.7810618324353,0.0153811843821334,0.08999999999999996,19.98,41.164278079081626,0.0281295174320841,502.2615582241686,8.58561273997884,0.13,19.98,38.33598131626992,0.03657713498082785,1604.600785705635,9.303398159429097,0.01000000000000005,19.6,23.40010478374525,0.0281295174320418,416.7845501769361,8.579710180409835,-0.010000000000000009,19.52,19.586009420593122,0.03657713498005796,1513.8197238731996,9.288016975046963
PSO,0.08999999999999996,0.21000000000000002,6.257478088024209,5.396054436612729e-10,81.43664416396633,0.01584255127099035,0.19,1.01,23.511309714634272,2.353756528572504e-08,61.80937782870102,0.081984955819861,0.12,19.9,31.100266759611863,0.0267750622217052,602.2784198070977,7.9610835389008745,0.19,,51.14836849741917,0.0357447591113308,2069.247665403884,9.9676722539598,0.03000000000000004,19.689999999999998,24.842788671587655,0.026775061682099758,520.8417756431314,7.945240987629884,0.0,,27.637058782784898,0.035744735573765514,2007.4382875751833,9.885687298139938
TPE,0.1,0.29,3.48610927515856,2.983519001112378e-05,80.78503630795805,0.09785578358239694,0.15000000000000002,0.52,16.365423915424092,4.843899510165173e-05,74.3028138822292,0.08712678869609394,0.1,19.94,28.343950403434157,0.03223277275572685,836.594285976403,6.541998822462176,0.14999999999999997,,39.01110350267959,0.0771916303021457,1057.3840622007529,9.00489658702853,0.0,19.650000000000002,24.857841128275595,0.032202937565715725,755.8092496684449,6.444143038879779,-5.551115123125783e-17,,22.645679587255497,0.07714319130704404,983.0812483185236,8.917769798332435
