Algorithm,Pitch_RiseTime_Mean,Pitch_SettlingTime_Mean,Pitch_Overshoot_Mean,Pitch_SSE_Mean,Pitch_CE_Mean,Pitch_ITAE_Mean,Yaw_RiseTime_Mean,Yaw_SettlingTime_Mean,Yaw_Overshoot_Mean,Yaw_SSE_Mean,Yaw_CE_Mean,Yaw_ITAE_Mean,Pitch_RiseTime_Max,Pitch_SettlingTime_Max,Pitch_Overshoot_Max,Pitch_SSE_Max,Pitch_CE_Max,Pitch_ITAE_Max,Yaw_RiseTime_Max,Yaw_SettlingTime_Max,Yaw_Overshoot_Max,Yaw_SSE_Max,Yaw_CE_Max,Yaw_ITAE_Max
CMA-ES,0.13499999999999995,0.3050000000000001,8.855669522365886,8.104628079763643e-15,73.28931570834244,0.01564199658667115,0.27000000000000013,1.3350000000000004,20.5798869507777,1.2878587085651816e-13,42.38898052733473,0.12651643491734674,0.16,0.3900000000000002,13.645935613817333,1.2934098236883074e-14,78.28012172459438,0.0224133814745935,0.3800000000000002,2.0300000000000007,24.99794468875677,1.5665246877460961e-13,64.78936299385366,0.2144432672909597
GWO,0.0999999999999999,0.3650000000000001,14.383472136216621,8.343326030058051e-14,81.32167882044456,0.00524885416681685,0.14,0.4750000000000002,18.778290524026353,1.6497914145929826e-12,85.52020897062324,0.02033378620281045,0.0999999999999999,0.4800000000000002,20.440560260851367,1.4077627952246985e-13,82.37760052717907,0.0068208449064,0.14,0.4800000000000002,19.051484314818456,2.293387701968186e-12,85.729584905779,0.0206567724194199
PSO,0.10999999999999995,0.20500000000000002,5.4872304156211005,5.437610639535961e-10,78.4505311014384,0.0118018058595609,0.19,0.9450000000000006,23.66499262834781,2.3351666489368487e-08,58.9449242065338,0.0847301773158575,0.12,0.25,7.963183056516619,8.477073487611618e-10,82.35182787192592,0.0148895611306764,0.22,1.1600000000000008,40.65656212985288,4.6701776779123356e-08,71.18884536235689,0.1209567114772197
TPE,0.1049999999999999,0.14999999999999997,3.332783541739522,2.59483693559881e-05,77.7462013063067,0.08779844173398565,0.155,0.5300000000000002,15.61039348219986,6.651268538046343e-05,70.36536080720478,0.10853526903282006,0.1099999999999999,0.16,3.527393735426178,5.189586844889238e-05,79.85557360681649,0.1662741548686901,0.16,0.5600000000000003,17.246790979098943,0.0001327239605961,75.31216602400917,0.1461077623865754
