Objective_Type,Tuning_Profile,Controller_Type,GS_Method,Iteration,CMA-ES_Cost,GWO_Cost
time_domain_objective,balanced,classic,None,1,1.018988205391857,0.39993913454602165
time_domain_objective,balanced,classic,None,2,0.9633342531489409,0.38468129771601783
time_domain_objective,balanced,classic,None,3,0.7020471220187252,0.38371759492941265
time_domain_objective,balanced,classic,None,4,0.7020471220187252,0.38371759492941265
time_domain_objective,balanced,classic,None,5,0.7020471220187252,0.38354838725040363
time_domain_objective,balanced,classic,None,6,0.6802479075472387,0.38349705439622384
time_domain_objective,balanced,classic,None,7,0.6802479075472387,0.38349705439622384
time_domain_objective,balanced,classic,None,8,0.5696724181502536,0.38349705439622384
time_domain_objective,balanced,classic,None,9,0.5696724181502536,0.38314509227160964
time_domain_objective,balanced,classic,None,10,0.5696724181502536,0.38310366255122336
time_domain_objective,balanced,classic,None,11,0.5696724181502536,0.38310366255122336
time_domain_objective,balanced,classic,None,12,0.5696724181502536,0.38310366255122336
time_domain_objective,balanced,classic,None,13,0.5696724181502536,0.38310366255122336
time_domain_objective,balanced,classic,None,14,0.5696724181502536,0.38310366255122336
time_domain_objective,balanced,classic,None,15,0.5696724181502536,0.38310366255122336
time_domain_objective,balanced,classic,None,16,0.5696724181502536,0.38310366255122336
time_domain_objective,balanced,classic,None,17,0.5696724181502536,0.38310366255122336
time_domain_objective,balanced,classic,None,18,0.5696724181502536,0.38310366255122336
time_domain_objective,balanced,classic,None,19,0.5696724181502536,0.38310366255122336
time_domain_objective,balanced,classic,None,20,0.5696724181502536,0.38310366255122336
time_domain_objective,balanced,classic,None,21,0.5696724181502536,0.38310366255122336
time_domain_objective,balanced,classic,None,22,0.5696724181502536,0.38310366255122336
time_domain_objective,balanced,classic,None,23,0.5696724181502536,0.38310366255122336
time_domain_objective,balanced,classic,None,24,0.5696724181502536,0.38310366255122336
time_domain_objective,balanced,classic,None,25,0.5696724181502536,0.38310366255122336
time_domain_objective,balanced,classic,None,26,0.5696724181502536,0.38310366255122336
time_domain_objective,balanced,classic,None,27,0.5696724181502536,0.38310366255122336
time_domain_objective,balanced,classic,None,28,0.5696724181502536,0.38310366255122336
time_domain_objective,balanced,classic,None,29,0.5696724181502536,0.38310366255122336
time_domain_objective,balanced,classic,None,30,0.5696724181502536,0.38310366255122336
time_domain_objective,balanced,classic,None,31,0.5696724181502536,0.38310366255122336
time_domain_objective,balanced,classic,None,32,0.5696724181502536,0.38310366255122336
time_domain_objective,balanced,classic,None,33,0.5696724181502536,0.38310366255122336
time_domain_objective,balanced,classic,None,34,0.5696724181502536,0.38310366255122336
time_domain_objective,balanced,classic,None,35,0.5696724181502536,0.38310366255122336
time_domain_objective,balanced,classic,None,36,0.5696724181502536,0.3831024404304367
time_domain_objective,balanced,classic,None,37,0.5696724181502536,0.3831024404304367
time_domain_objective,balanced,classic,None,38,0.5696724181502536,0.3831024404304367
time_domain_objective,balanced,classic,None,39,0.5696724181502536,0.3831024404304367
time_domain_objective,balanced,classic,None,40,0.5648338380174662,0.3831024404304367
time_domain_objective,balanced,classic,None,41,0.5648338380174662,0.3831024404304367
time_domain_objective,balanced,classic,None,42,0.5648338380174662,0.3831024404304367
time_domain_objective,balanced,classic,None,43,0.5648338380174662,0.3831024404304367
time_domain_objective,balanced,classic,None,44,0.5648338380174662,0.3831024404304367
time_domain_objective,balanced,classic,None,45,0.5648338380174662,0.3831024404304367
time_domain_objective,balanced,classic,None,46,0.5648338380174662,0.3831024404304367
time_domain_objective,balanced,classic,None,47,0.5648338380174662,0.3831024404304367
time_domain_objective,balanced,classic,None,48,0.5648338380174662,0.3831024404304367
time_domain_objective,balanced,classic,None,49,0.5648338380174662,0.3831024404304367
time_domain_objective,balanced,classic,None,50,0.5469328214897597,0.3831024404304367
