Objective_Type,Tuning_Profile,Controller_Type,GS_Method,Iteration,GWO_Cost
time_domain_objective,balanced,classic,step,49,0.3830603770201813
time_domain_objective,balanced,classic,step,50,0.3830603770201813
time_domain_objective,balanced,classic,linear,1,0.3846928850226048
time_domain_objective,balanced,classic,linear,2,0.3844342081737818
time_domain_objective,balanced,classic,linear,3,0.3833082489070483
time_domain_objective,balanced,classic,linear,4,0.38313821080607735
time_domain_objective,balanced,classic,linear,5,0.3831251580330344
time_domain_objective,balanced,classic,linear,6,0.3831251580330344
time_domain_objective,balanced,classic,linear,7,0.3831251580330344
time_domain_objective,balanced,classic,linear,8,0.3831222832066159
time_domain_objective,balanced,classic,linear,9,0.38310827805683584
time_domain_objective,balanced,classic,linear,10,0.38310428734258156
time_domain_objective,balanced,classic,linear,11,0.38310428734258156
time_domain_objective,balanced,classic,linear,12,0.3831041396541591
time_domain_objective,balanced,classic,linear,13,0.3831041396541591
time_domain_objective,balanced,classic,linear,14,0.38310372089482997
time_domain_objective,balanced,classic,linear,15,0.38310372089482997
time_domain_objective,balanced,classic,linear,16,0.38310372089482997
time_domain_objective,balanced,classic,linear,17,0.38310372089482997
time_domain_objective,balanced,classic,linear,18,0.38310372089482997
time_domain_objective,balanced,classic,linear,19,0.38310372089482997
time_domain_objective,balanced,classic,linear,20,0.38310372089482997
time_domain_objective,balanced,classic,linear,21,0.38310372089482997
time_domain_objective,balanced,classic,linear,22,0.38310372089482997
time_domain_objective,balanced,classic,linear,23,0.38310372089482997
time_domain_objective,balanced,classic,linear,24,0.38310372089482997
time_domain_objective,balanced,classic,linear,25,0.38310372089482997
time_domain_objective,balanced,classic,linear,26,0.38310372089482997
time_domain_objective,balanced,classic,linear,27,0.38310372089482997
time_domain_objective,balanced,classic,linear,28,0.38310372089482997
time_domain_objective,balanced,classic,linear,29,0.38310372089482997
time_domain_objective,balanced,classic,linear,30,0.38310372089482997
time_domain_objective,balanced,classic,linear,31,0.38310372089482997
time_domain_objective,balanced,classic,linear,32,0.38310372089482997
time_domain_objective,balanced,classic,linear,33,0.38310372089482997
time_domain_objective,balanced,classic,linear,34,0.38310372089482997
time_domain_objective,balanced,classic,linear,35,0.38310372089482997
time_domain_objective,balanced,classic,linear,36,0.38310372089482997
time_domain_objective,balanced,classic,linear,37,0.38310328373155295
time_domain_objective,balanced,classic,linear,38,0.38310328373155295
time_domain_objective,balanced,classic,linear,39,0.38310328373155295
time_domain_objective,balanced,classic,linear,40,0.38310328373155295
time_domain_objective,balanced,classic,linear,41,0.38310328373155295
time_domain_objective,balanced,classic,linear,42,0.38310328373155295
time_domain_objective,balanced,classic,linear,43,0.38310328373155295
time_domain_objective,balanced,classic,linear,44,0.38310328373155295
time_domain_objective,balanced,classic,linear,45,0.38310328373155295
time_domain_objective,balanced,classic,linear,46,0.38310328373155295
time_domain_objective,balanced,classic,linear,47,0.38310328373155295
time_domain_objective,balanced,classic,linear,48,0.38310328373155295
time_domain_objective,balanced,classic,linear,49,0.38310328373155295
time_domain_objective,balanced,classic,linear,50,0.38310328373155295
time_domain_objective,balanced,classic,sigmoid,1,0.4209360849513681
time_domain_objective,balanced,classic,sigmoid,2,0.39067770063390556
time_domain_objective,balanced,classic,sigmoid,3,0.38624279282503954
time_domain_objective,balanced,classic,sigmoid,4,0.384665837720085
time_domain_objective,balanced,classic,sigmoid,5,0.38373320856544785
time_domain_objective,balanced,classic,sigmoid,6,0.38347010612178223
time_domain_objective,balanced,classic,sigmoid,7,0.38347010612178223
time_domain_objective,balanced,classic,sigmoid,8,0.38347010612178223
time_domain_objective,balanced,classic,sigmoid,9,0.3834690301722604
time_domain_objective,balanced,classic,sigmoid,10,0.3834690301722604
time_domain_objective,balanced,classic,sigmoid,11,0.3834682663470647
time_domain_objective,balanced,classic,sigmoid,12,0.3834583992508334
time_domain_objective,balanced,classic,sigmoid,13,0.3834583992508334
time_domain_objective,balanced,classic,sigmoid,14,0.3834583992508334
time_domain_objective,balanced,classic,sigmoid,15,0.3834583992508334
time_domain_objective,balanced,classic,sigmoid,16,0.3834583992508334
time_domain_objective,balanced,classic,sigmoid,17,0.3834583992508334
time_domain_objective,balanced,classic,sigmoid,18,0.3834583992508334
time_domain_objective,balanced,classic,sigmoid,19,0.3834583992508334
time_domain_objective,balanced,classic,sigmoid,20,0.3834583992508334
time_domain_objective,balanced,classic,sigmoid,21,0.3834583992508334
time_domain_objective,balanced,classic,sigmoid,22,0.3834583992508334
time_domain_objective,balanced,classic,sigmoid,23,0.3834566673477758
time_domain_objective,balanced,classic,sigmoid,24,0.3834566673477758
time_domain_objective,balanced,classic,sigmoid,25,0.3834566673477758
time_domain_objective,balanced,classic,sigmoid,26,0.3834566673477758
time_domain_objective,balanced,classic,sigmoid,27,0.3834566673477758
time_domain_objective,balanced,classic,sigmoid,28,0.3834566673477758
time_domain_objective,balanced,classic,sigmoid,29,0.3834566673477758
time_domain_objective,balanced,classic,sigmoid,30,0.3834566673477758
time_domain_objective,balanced,classic,sigmoid,31,0.3834566673477758
time_domain_objective,balanced,classic,sigmoid,32,0.3834566673477758
time_domain_objective,balanced,classic,sigmoid,33,0.3834566673477758
time_domain_objective,balanced,classic,sigmoid,34,0.3834566673477758
time_domain_objective,balanced,classic,sigmoid,35,0.3834566673477758
time_domain_objective,balanced,classic,sigmoid,36,0.3834566673477758
time_domain_objective,balanced,classic,sigmoid,37,0.383456606477968
time_domain_objective,balanced,classic,sigmoid,38,0.383456606477968
time_domain_objective,balanced,classic,sigmoid,39,0.383456606477968
time_domain_objective,balanced,classic,sigmoid,40,0.383456606477968
time_domain_objective,balanced,classic,sigmoid,41,0.383456606477968
time_domain_objective,balanced,classic,sigmoid,42,0.383456606477968
time_domain_objective,balanced,classic,sigmoid,43,0.383456606477968
time_domain_objective,balanced,classic,sigmoid,44,0.383456606477968
time_domain_objective,balanced,classic,sigmoid,45,0.383456606477968
time_domain_objective,balanced,classic,sigmoid,46,0.383456606477968
time_domain_objective,balanced,classic,sigmoid,47,0.383456606477968
time_domain_objective,balanced,classic,sigmoid,48,0.3834564279455576
time_domain_objective,balanced,classic,sigmoid,49,0.3834562861544975
time_domain_objective,balanced,classic,sigmoid,50,0.3834562861544975
time_domain_objective,balanced,fuzzy,None,1,0.39012773139207474
time_domain_objective,balanced,fuzzy,None,2,0.3861418751521554
time_domain_objective,balanced,fuzzy,None,3,0.38473394389594745
time_domain_objective,balanced,fuzzy,None,4,0.3836558277057569
time_domain_objective,balanced,fuzzy,None,5,0.38359317086030886
time_domain_objective,balanced,fuzzy,None,6,0.38332351392732694
time_domain_objective,balanced,fuzzy,None,7,0.38332351392732694
time_domain_objective,balanced,fuzzy,None,8,0.38313076821550396
time_domain_objective,balanced,fuzzy,None,9,0.383117496918155
time_domain_objective,balanced,fuzzy,None,10,0.383117496918155
time_domain_objective,balanced,fuzzy,None,11,0.3831042128042312
time_domain_objective,balanced,fuzzy,None,12,0.3831042128042312
time_domain_objective,balanced,fuzzy,None,13,0.3831042128042312
time_domain_objective,balanced,fuzzy,None,14,0.38309591797509013
time_domain_objective,balanced,fuzzy,None,15,0.38309591797509013
time_domain_objective,balanced,fuzzy,None,16,0.38308905113555214
time_domain_objective,balanced,fuzzy,None,17,0.38308905113555214
time_domain_objective,balanced,fuzzy,None,18,0.38308905113555214
time_domain_objective,balanced,fuzzy,None,19,0.38308905113555214
time_domain_objective,balanced,fuzzy,None,20,0.3830888991679134
time_domain_objective,balanced,fuzzy,None,21,0.3830888991679134
time_domain_objective,balanced,fuzzy,None,22,0.3830843149294734
time_domain_objective,balanced,fuzzy,None,23,0.3830843149294734
time_domain_objective,balanced,fuzzy,None,24,0.3830843149294734
time_domain_objective,balanced,fuzzy,None,25,0.3830843149294734
time_domain_objective,balanced,fuzzy,None,26,0.3830843149294734
time_domain_objective,balanced,fuzzy,None,27,0.3830843149294734
time_domain_objective,balanced,fuzzy,None,28,0.3830835220877114
time_domain_objective,balanced,fuzzy,None,29,0.3830835220877114
time_domain_objective,balanced,fuzzy,None,30,0.3830835220877114
time_domain_objective,balanced,fuzzy,None,31,0.3830835220877114
time_domain_objective,balanced,fuzzy,None,32,0.3830835220877114
time_domain_objective,balanced,fuzzy,None,33,0.3830835220877114
time_domain_objective,balanced,fuzzy,None,34,0.38308346015600653
time_domain_objective,balanced,fuzzy,None,35,0.38308346015600653
time_domain_objective,balanced,fuzzy,None,36,0.38308346015600653
time_domain_objective,balanced,fuzzy,None,37,0.38308339782920825
time_domain_objective,balanced,fuzzy,None,38,0.38308339782920825
time_domain_objective,balanced,fuzzy,None,39,0.38308339782920825
time_domain_objective,balanced,fuzzy,None,40,0.38308339782920825
time_domain_objective,balanced,fuzzy,None,41,0.38308339782920825
time_domain_objective,balanced,fuzzy,None,42,0.38308339782920825
time_domain_objective,balanced,fuzzy,None,43,0.38308339782920825
time_domain_objective,balanced,fuzzy,None,44,0.38308339782920825
time_domain_objective,balanced,fuzzy,None,45,0.38308339782920825
time_domain_objective,balanced,fuzzy,None,46,0.38308339782920825
time_domain_objective,balanced,fuzzy,None,47,0.38308339782920825
time_domain_objective,balanced,fuzzy,None,48,0.38308339782920825
time_domain_objective,balanced,fuzzy,None,49,0.38308339782920825
time_domain_objective,balanced,fuzzy,None,50,0.38308339782920825
time_domain_objective,balanced,fuzzy,step,1,0.3856284396070882
time_domain_objective,balanced,fuzzy,step,2,0.3847625200300832
time_domain_objective,balanced,fuzzy,step,3,0.38415765570127736
time_domain_objective,balanced,fuzzy,step,4,0.3836181724110633
time_domain_objective,balanced,fuzzy,step,5,0.38313964787540916
time_domain_objective,balanced,fuzzy,step,6,0.3831060468047343
time_domain_objective,balanced,fuzzy,step,7,0.3831043814214318
time_domain_objective,balanced,fuzzy,step,8,0.38310400574457415
time_domain_objective,balanced,fuzzy,step,9,0.38310400574457415
time_domain_objective,balanced,fuzzy,step,10,0.38310375896055043
time_domain_objective,balanced,fuzzy,step,11,0.3830890472806862
time_domain_objective,balanced,fuzzy,step,12,0.3830890472806862
time_domain_objective,balanced,fuzzy,step,13,0.3830890472806862
time_domain_objective,balanced,fuzzy,step,14,0.3830890472806862
time_domain_objective,balanced,fuzzy,step,15,0.3830890472806862
time_domain_objective,balanced,fuzzy,step,16,0.3830890472806862
time_domain_objective,balanced,fuzzy,step,17,0.3830890472806862
time_domain_objective,balanced,fuzzy,step,18,0.3830890472806862
time_domain_objective,balanced,fuzzy,step,19,0.3830890472806862
time_domain_objective,balanced,fuzzy,step,20,0.3830890472806862
time_domain_objective,balanced,fuzzy,step,21,0.3830890472806862
time_domain_objective,balanced,fuzzy,step,22,0.3830890472806862
time_domain_objective,balanced,fuzzy,step,23,0.3830890472806862
time_domain_objective,balanced,fuzzy,step,24,0.3830890472806862
time_domain_objective,balanced,fuzzy,step,25,0.3830890472806862
time_domain_objective,balanced,fuzzy,step,26,0.3830890472806862
time_domain_objective,balanced,fuzzy,step,27,0.3830890472806862
time_domain_objective,balanced,fuzzy,step,28,0.3830890472806862
time_domain_objective,balanced,fuzzy,step,29,0.3830890472806862
time_domain_objective,balanced,fuzzy,step,30,0.3830890472806862
time_domain_objective,balanced,fuzzy,step,31,0.3830890472806862
time_domain_objective,balanced,fuzzy,step,32,0.3830890472806862
time_domain_objective,balanced,fuzzy,step,33,0.3830890472806862
time_domain_objective,balanced,fuzzy,step,34,0.3830890472806862
time_domain_objective,balanced,fuzzy,step,35,0.3830890472806862
time_domain_objective,balanced,fuzzy,step,36,0.3830890472806862
time_domain_objective,balanced,fuzzy,step,37,0.3830890472806862
time_domain_objective,balanced,fuzzy,step,38,0.3830890472806862
time_domain_objective,balanced,fuzzy,step,39,0.3830890472806862
time_domain_objective,balanced,fuzzy,step,40,0.3830890472806862
time_domain_objective,balanced,fuzzy,step,41,0.3830890472806862
time_domain_objective,balanced,fuzzy,step,42,0.3830890472806862
time_domain_objective,balanced,fuzzy,step,43,0.3830890472806862
time_domain_objective,balanced,fuzzy,step,44,0.3830890472806862
time_domain_objective,balanced,fuzzy,step,45,0.3830890472806862
time_domain_objective,balanced,fuzzy,step,46,0.3830890472806862
time_domain_objective,balanced,fuzzy,step,47,0.3830890472806862
time_domain_objective,balanced,fuzzy,step,48,0.3830890472806862
time_domain_objective,balanced,fuzzy,step,49,0.3830890472806862
time_domain_objective,balanced,fuzzy,step,50,0.3830890472806862
time_domain_objective,balanced,fuzzy,linear,1,0.3866808190345731
time_domain_objective,balanced,fuzzy,linear,2,0.3866808190345731
time_domain_objective,balanced,fuzzy,linear,3,0.38315279806306896
time_domain_objective,balanced,fuzzy,linear,4,0.38315279806306896
time_domain_objective,balanced,fuzzy,linear,5,0.38312399726351004
time_domain_objective,balanced,fuzzy,linear,6,0.38308527415074983
time_domain_objective,balanced,fuzzy,linear,7,0.38308527415074983
time_domain_objective,balanced,fuzzy,linear,8,0.38308527415074983
time_domain_objective,balanced,fuzzy,linear,9,0.38308527415074983
time_domain_objective,balanced,fuzzy,linear,10,0.38308527415074983
time_domain_objective,balanced,fuzzy,linear,11,0.38308527415074983
time_domain_objective,balanced,fuzzy,linear,12,0.38308337347587845
time_domain_objective,balanced,fuzzy,linear,13,0.38308337347587845
time_domain_objective,balanced,fuzzy,linear,14,0.383083109212659
time_domain_objective,balanced,fuzzy,linear,15,0.383083109212659
time_domain_objective,balanced,fuzzy,linear,16,0.383083109212659
time_domain_objective,balanced,fuzzy,linear,17,0.383083109212659
time_domain_objective,balanced,fuzzy,linear,18,0.383083109212659
time_domain_objective,balanced,fuzzy,linear,19,0.383083109212659
time_domain_objective,balanced,fuzzy,linear,20,0.383083109212659
time_domain_objective,balanced,fuzzy,linear,21,0.383083109212659
time_domain_objective,balanced,fuzzy,linear,22,0.383083109212659
time_domain_objective,balanced,fuzzy,linear,23,0.383083109212659
time_domain_objective,balanced,fuzzy,linear,24,0.383083109212659
time_domain_objective,balanced,fuzzy,linear,25,0.383083109212659
time_domain_objective,balanced,fuzzy,linear,26,0.383083109212659
time_domain_objective,balanced,fuzzy,linear,27,0.383083109212659
time_domain_objective,balanced,fuzzy,linear,28,0.383083109212659
time_domain_objective,balanced,fuzzy,linear,29,0.383083109212659
time_domain_objective,balanced,fuzzy,linear,30,0.38308296630587685
time_domain_objective,balanced,fuzzy,linear,31,0.38308296630587685
time_domain_objective,balanced,fuzzy,linear,32,0.38308296630587685
time_domain_objective,balanced,fuzzy,linear,33,0.38308296630587685
time_domain_objective,balanced,fuzzy,linear,34,0.38308296630587685
time_domain_objective,balanced,fuzzy,linear,35,0.38308296630587685
time_domain_objective,balanced,fuzzy,linear,36,0.38308296630587685
time_domain_objective,balanced,fuzzy,linear,37,0.38308296630587685
time_domain_objective,balanced,fuzzy,linear,38,0.38308296630587685
time_domain_objective,balanced,fuzzy,linear,39,0.38308296630587685
time_domain_objective,balanced,fuzzy,linear,40,0.38308296630587685
time_domain_objective,balanced,fuzzy,linear,41,0.38308296630587685
time_domain_objective,balanced,fuzzy,linear,42,0.38308296630587685
time_domain_objective,balanced,fuzzy,linear,43,0.38308296630587685
time_domain_objective,balanced,fuzzy,linear,44,0.38308296630587685
time_domain_objective,balanced,fuzzy,linear,45,0.38308296630587685
time_domain_objective,balanced,fuzzy,linear,46,0.38308296630587685
time_domain_objective,balanced,fuzzy,linear,47,0.38308294460790726
