Seed,Objective_Type,Tuning_Profile,Controller_Type,GS_Method,Iteration,PSO_Cost,PSO_Time,TPE_Cost,TPE_Time,CMA-ES_Cost,CMA-ES_Time,GWO_Cost,GWO_Time
None,time_domain_objective,balanced,classic,None,1,0.36433143504007887,7.191250324249268,0.48304488720467254,0.567456,0.3380386783905728,1.935665,0.2945625943808084,3.755893900000956
None,time_domain_objective,balanced,classic,None,2,0.3573836667961588,10.416495561599731,0.48304488720467254,0.49292,0.3380386783905728,2.059477,0.28519749171602576,7.591466700017918
None,time_domain_objective,balanced,classic,None,3,0.31924672537273857,13.576148509979248,0.4555452006826111,0.985263,0.3380386783905728,1.654935,0.28404460367358364,11.481134600006044
None,time_domain_objective,balanced,classic,None,4,0.31924672537273857,16.717665195465088,0.4341840824519014,0.783455,0.3380386783905728,1.992931,0.282912414541553,15.284063099999912
None,time_domain_objective,balanced,classic,None,5,0.31924672537273857,19.95528483390808,0.4341840824519014,0.990268,0.3380386783905728,2.015778,0.2820551595966879,19.071215999952983
None,time_domain_objective,balanced,classic,None,6,0.31924672537273857,22.998979568481445,0.4341840824519014,1.183234,0.3380386783905728,2.061486,0.28171911966323704,22.853441899933387
None,time_domain_objective,balanced,classic,None,7,0.31924672537273857,25.95769238471985,0.4341840824519014,1.724955,0.3380386783905728,2.075287,0.2816785324692321,26.619595399941318
None,time_domain_objective,balanced,classic,None,8,0.31924672537273857,28.935778379440308,0.4341840824519014,2.102868,0.3380386783905728,1.874575,0.2816683048028905,30.391502299928106
None,time_domain_objective,balanced,classic,None,9,0.31924672537273857,31.909688711166382,0.4341840824519014,2.502731,0.3380386783905728,2.059477,0.28160582339197354,34.15483429993037
None,time_domain_objective,balanced,classic,None,10,0.31924672537273857,35.015828371047974,0.4341840824519014,2.278084,0.3380386783905728,2.025932,0.28160582339197354,37.9469941999414
None,time_domain_objective,balanced,classic,None,11,0.31924672537273857,39.592211961746216,0.4341840824519014,2.262141,0.3380386783905728,2.0812,0.28160582339197354,41.71943009993993
None,time_domain_objective,balanced,classic,None,12,0.31924672537273857,43.15932750701904,0.4341840824519014,2.609173,0.3380386783905728,4.43654,0.28160582339197354,45.44918619998498
None,time_domain_objective,balanced,classic,None,13,0.3128701190435496,46.91417145729065,0.4341840824519014,3.104442,0.3380386783905728,4.420458,0.28160582339197354,49.218225899967365
None,time_domain_objective,balanced,classic,None,14,0.3128701190435496,50.54908013343811,0.4341840824519014,2.995302,0.3380386783905728,4.474766,0.28160164929422676,52.98039559996687
None,time_domain_objective,balanced,classic,None,15,0.3128701190435496,54.15000581741333,0.4341840824519014,3.087604,0.3380386783905728,4.419444,0.2815911840765281,56.748364899947774
None,time_domain_objective,balanced,classic,None,16,0.3128701190435496,57.802485942840576,0.4341840824519014,3.506092,0.3380386783905728,4.387846,0.2815904877365707,60.49143669992918
None,time_domain_objective,balanced,classic,None,17,0.3128701190435496,61.06486654281616,0.4341840824519014,3.891044,0.3380386783905728,4.492555,0.2815904877365707,64.30970769992564
