Iteration,CMA-ES_Cost,GWO_Cost
1,0.9517965565269911,0.4022543607573915
2,0.5606120389067915,0.39471381984347237
3,0.5606120389067915,0.39471381984347237
4,0.5606120389067915,0.3938848445001334
5,0.5606120389067915,0.3937579876615668
6,0.5606120389067915,0.39373347872842135
7,0.5606120389067915,0.39368850025199525
8,0.5606120389067915,0.39365475729554983
9,0.55865641691891,0.3936520845242389
10,0.55865641691891,0.3936520845242389
11,0.4883648465420008,0.3936520845242389
12,0.4883648465420008,0.3936520845242389
13,0.4883648465420008,0.3936520845242389
14,0.4883648465420008,0.3936488428716379
15,0.4883648465420008,0.3936488428716379
16,0.4883648465420008,0.39364349675868177
17,0.4883648465420008,0.39364349675868177
18,0.4883648465420008,0.39364349675868177
19,0.48206632042038833,0.39364349675868177
20,0.4490194930092716,0.39364349675868177
21,0.4490194930092716,0.3936400678526746
22,0.4490194930092716,0.3936400678526746
23,0.4490194930092716,0.3936209350056407
24,0.4490194930092716,0.3936097805775416
25,0.4490194930092716,0.39360928615803353
26,0.4490194930092716,0.39360367077000663
27,0.4490194930092716,0.3935983072550059
28,0.4490194930092716,0.3935934865017957
29,0.4490194930092716,0.3935884754651157
30,0.4490194930092716,0.39358469849284833
31,0.4490194930092716,0.39358237620353836
32,0.4490194930092716,0.39358237620353836
33,0.4490194930092716,0.39358237620353836
34,0.4490194930092716,0.39357867953532805
35,0.4490194930092716,0.3935771632592358
36,0.4490194930092716,0.3935756379729718
37,0.4490194930092716,0.3935756379729718
38,0.4490194930092716,0.39357132103122827
39,0.4490194930092716,0.39357132103122827
40,0.4490194930092716,0.39357132103122827
41,0.4490194930092716,0.39357132103122827
42,0.4490194930092716,0.39357132103122827
43,0.4490194930092716,0.39357132103122827
44,0.4490194930092716,0.39357132103122827
45,0.4490194930092716,0.39357132103122827
46,0.4490194930092716,0.39357132103122827
47,0.4490194930092716,0.39357132103122827
48,0.4464931363782737,0.39357132103122827
49,0.4464931363782737,0.39357132103122827
50,0.4464931363782737,0.39357132103122827
