Algorithm,Pitch_RiseTime_Base(Conf 1),Pitch_SettlingTime_Base(Conf 1),Pitch_Overshoot_Base(Conf 1),Pitch_SSE_Base(Conf 1),Pitch_CE_Base(Conf 1),Pitch_ITAE_Base(Conf 1),Yaw_RiseTime_Base(Conf 1),Yaw_SettlingTime_Base(Conf 1),Yaw_Overshoot_Base(Conf 1),Yaw_SSE_Base(Conf 1),Yaw_CE_Base(Conf 1),Yaw_ITAE_Base(Conf 1),Pitch_RiseTime_Worst(Conf 7),Pitch_SettlingTime_Worst(Conf 7),Pitch_Overshoot_Worst(Conf 7),Pitch_SSE_Worst(Conf 7),Pitch_CE_Worst(Conf 7),Pitch_ITAE_Worst(Conf 7),Yaw_RiseTime_Worst(Conf 7),Yaw_SettlingTime_Worst(Conf 7),Yaw_Overshoot_Worst(Conf 7),Yaw_SSE_Worst(Conf 7),Yaw_CE_Worst(Conf 7),Yaw_ITAE_Worst(Conf 7),Pitch_RiseTime_Delta,Pitch_SettlingTime_Delta,Pitch_Overshoot_Delta,Pitch_SSE_Delta,Pitch_CE_Delta,Pitch_ITAE_Delta,Yaw_RiseTime_Delta,Yaw_SettlingTime_Delta,Yaw_Overshoot_Delta,Yaw_SSE_Delta,Yaw_CE_Delta,Yaw_ITAE_Delta
CMA-ES,0.265,1.182,8.884862961421193,4.639483287549595e-07,70.22670347660407,0.10068754395111451,0.7,1.688,4.636810843632546,0.001626431234367,18.269801898512352,1.2445116811861183,0.95,19.998,192.03205618055932,0.0518625111988628,6798.523635025787,44.721480606910234,0.593,,236.51245560908308,0.2217194111738806,11091.700352770895,72.74444190277481,0.6849999999999999,18.816000000000003,183.14719321913813,0.051862047250534046,6728.296931549184,44.620793062959116,-0.10699999999999998,,231.87564476545055,0.2200929799395136,11073.430550872383,71.4999302215887
GWO,0.078,0.444,21.62632234314585,1.530736648547304e-11,100.11807381280381,0.01981060319508425,0.132,0.852,32.024532151278294,1.0553169449423194e-11,133.49689013489572,0.03592850874002815,0.05,,112.53990320656337,0.08980139946201199,3617.5529112095937,22.860811539102762,0.16499999999999998,,159.73250788651154,0.2078033788219488,5868.175763157051,37.565093588823245,-0.027999999999999997,,90.91358086341751,0.08980139944670462,3517.43483739679,22.84100093590768,0.032999999999999974,,127.70797573523325,0.20780337881139563,5734.678873022155,37.52916508008322
PSO,0.10500000000000001,0.43300000000000005,10.659632375057843,7.829372036527449e-06,76.25062580090588,0.07944687524540571,0.14900000000000002,0.712,34.092719790117435,1.0877401201980776e-08,86.28158767308497,0.0402939167215995,0.14700000000000002,,125.42006042546367,0.09133273816125295,2789.1061204995485,26.64250588409863,0.11099999999999995,,116.73039315956176,0.14466786805453835,4533.439162985317,36.38390319816742,0.04200000000000001,,114.76042805040584,0.09132490878921642,2712.855494698643,26.563059008853223,-0.038000000000000075,,82.63767336944431,0.14466785717713715,4447.157575312232,36.343609281445815
TPE,0.094,0.472,12.98414415955283,8.320377720139048e-11,81.40675860980464,0.0112323664277546,0.135,0.7030000000000001,30.788552649790915,9.066535355817251e-09,117.39315751551352,0.03425133375888645,0.109,,118.87054787594235,0.13632269203517025,4306.705856082124,24.212330211388903,0.114,,155.3373047981754,0.0692732658228116,5270.520255771041,36.116865657008404,0.015,,105.88640371638952,0.13632269195196647,4225.29909747232,24.201097844961147,-0.021000000000000005,,124.5487521483845,0.06927325675627624,5153.127098255527,36.082614323249516
