Algorithm,Pitch_RiseTime_Mean,Pitch_SettlingTime_Mean,Pitch_Overshoot_Mean,Pitch_SSE_Mean,Pitch_CE_Mean,Pitch_ITAE_Mean,Yaw_RiseTime_Mean,Yaw_SettlingTime_Mean,Yaw_Overshoot_Mean,Yaw_SSE_Mean,Yaw_CE_Mean,Yaw_ITAE_Mean,Pitch_RiseTime_Max,Pitch_SettlingTime_Max,Pitch_Overshoot_Max,Pitch_SSE_Max,Pitch_CE_Max,Pitch_ITAE_Max,Yaw_RiseTime_Max,Yaw_SettlingTime_Max,Yaw_Overshoot_Max,Yaw_SSE_Max,Yaw_CE_Max,Yaw_ITAE_Max
CMA-ES,0.2750000000000001,1.165,9.607519869464872,4.481235149067509e-07,73.4966700184526,0.1004713637715606,0.7100000000000004,0.9200000000000006,4.537072056229896,0.0016022861190157,20.74049895191587,1.2231732493517273,0.4500000000000003,2.06,11.198328566972195,5.186660286260469e-07,85.95133063605907,0.1447918041378038,0.7200000000000004,0.9400000000000006,4.912615488699402,0.0018311360507842,22.07210614810644,1.242809476381816
GWO,0.0799999999999999,0.4400000000000002,25.209034633792832,1.751748746059434e-11,106.00165260199458,0.020982081946529202,0.13,0.9950000000000007,33.94510747153458,1.3635037543480166e-11,145.06683081127966,0.0420490886102782,0.0799999999999999,0.4400000000000002,25.214530886656984,1.7598422719089513e-11,106.01882131344873,0.0209859377390355,0.13,1.1100000000000008,34.479935404141706,1.6406875857910563e-11,146.30776594875013,0.0436272774006723
PSO,0.1049999999999999,0.43500000000000016,12.72709581412036,8.494793989455296e-06,78.55598850167367,0.08537211717980431,0.14500000000000002,0.8300000000000005,35.15921920867178,1.177655828410451e-08,90.66659812167256,0.04173796828164615,0.1099999999999999,0.5600000000000003,15.189739060565495,1.6989587976579124e-05,82.33708112468035,0.1628546228886451,0.16,0.9600000000000006,41.70893569442869,2.3553116346164416e-08,110.57003016263828,0.057474744856307
TPE,0.09499999999999989,0.4850000000000002,14.794559332383635,9.545991774828622e-11,84.0846577772466,0.0131302692321344,0.13,0.8050000000000005,32.92272394184815,1.051135206653342e-08,125.67125142535292,0.0385485353948505,0.0999999999999999,0.5100000000000002,14.917426954978133,1.441333719043314e-10,87.97558145607152,0.0153958599207458,0.13,0.9200000000000006,34.53904295379299,1.4763422040431353e-08,126.36034545263826,0.0411219134354565
