Timestamp,Algorithm,Objective_Type,Tuning_Profile,Trajectory_Type,Controller_Type,GS_Method,T_Max,Setpoint_Pitch,Setpoint_Yaw,Disturbance_Wind_P,Disturbance_Wind_Y,Disturbance_Sensor_Noise,Disturbance_Payload,Iterations,Best_Cost,Kp_pitch,Ki_pitch,Kd_pitch,Kp_yaw,Ki_yaw,Kd_yaw,Execution_Time_sec,Pitch_RiseTime,Pitch_SettlingTime,Pitch_Overshoot,Pitch_SSE,Pitch_CE,Pitch_ITAE,Yaw_RiseTime,Yaw_SettlingTime,Yaw_Overshoot,Yaw_SSE,Yaw_CE,Yaw_ITAE
2026-06-30 21:51:34,PSO,default_objective,balanced,step,classic,None,5.0,0.1745,0.1745,0.0,0.0,0.0,0.0,3,0.0032142208554238887,37.86931607695773,67.25102975047317,0.19904302261959117,48.86829097024232,53.956589396843825,2.9207984138546883,5.4982521533966064,0.17000000000000004,0.23000000000000007,0.002167704825588762,1.2228106781309034e-06,17.08225744907526,0.004252462577291605,0.18000000000000005,1.0800000000000007,20.98996913146108,4.91730869248419e-05,9.704418822448515,0.024010715343191782
2026-07-01 10:19:33,GA,default_objective,balanced,step,classic,None,20.0,0.2617993877991494,0.5235987755982988,0.01,0.01,0.005,0.01,1,0.10621099076126174,10.278880497913367,86.5918795115438,8.876529905357023,56.705094370363376,67.03131516520259,16.247774133250648,6.6934590339660645,0.5000000000000002,,59.312336688238666,0.024259150542752683,515.3629095909429,3.486255451488889,0.45000000000000023,2.619999999999988,23.038485988403618,0.00038562152826338014,1498.3635554484883,1.50493642405079
2026-07-01 10:19:33,PSO,default_objective,balanced,step,classic,None,20.0,0.2617993877991494,0.5235987755982988,0.01,0.01,0.005,0.01,2,0.05911784171489806,70.34599148886242,47.7184756208745,2.425162751396229,24.4789794797624,77.75911036267127,13.284236378673041,12.972486734390259,0.12,19.64000000000027,11.234771203887485,0.010958869284432238,116.534663419127,1.5673141229165521,0.49000000000000027,19.64000000000027,45.19959769828546,0.005866042187050002,1012.8066818081508,2.4891658095906815
2026-07-01 10:19:33,TPE,default_objective,balanced,step,classic,None,20.0,0.2617993877991494,0.5235987755982988,0.01,0.01,0.005,0.01,2,1.0255239632595523,29.016527427036475,23.43614016778458,24.859993461748065,53.433454584914074,4.805933326765189,28.886401577984145,0.5951759815216064,1.410000000000001,19.980000000000324,21.858389827987004,0.006051454754254726,4416.801981823403,2.252428379352725,0.9700000000000008,19.940000000000317,7.897342152360694,0.016863648591867064,4078.5749274731143,2.8017407092399504
2026-07-01 10:19:33,CMA-ES,default_objective,balanced,step,classic,None,20.0,0.2617993877991494,0.5235987755982988,0.01,0.01,0.005,0.01,3,0.04319452171028251,68.82950565894217,41.87906366109387,2.9337088099910202,32.01528420665019,63.496617921005175,10.43256680046466,0.9679043292999268,0.15000000000000002,19.970000000000322,11.139493430869795,0.001842803451878594,129.10793390400335,1.518403623693576,0.39000000000000024,17.629999999999956,34.24043716431076,0.005963492393337044,605.4591481508019,1.932600909580329
2026-07-01 10:19:33,GWO,default_objective,balanced,step,classic,None,20.0,0.2617993877991494,0.5235987755982988,0.01,0.01,0.005,0.01,3,0.026787743712579064,70.72412381563151,35.027948539432984,0.0,76.33041092764672,20.73957156555689,4.0804696408582934,23.867900133132935,0.06999999999999999,,23.76225977247787,0.014230681352188579,79.8038161462939,1.9022088860526218,0.15000000000000005,19.920000000000314,10.33339981759125,0.006637903465135597,181.9297657422116,1.7983221017600834
2026-07-01 10:31:25,GA,default_objective,balanced,step,classic,None,20.0,0.2617993877991494,0.5235987755982988,0.01,0.01,0.005,0.01,1,0.06514165013808376,13.874180229625388,7.437977798224804,11.082447127589079,36.48740321899236,99.57912597319314,3.579216761009396,6.515849590301514,2.3099999999999943,19.490000000000247,15.127398919144666,0.004456460336534962,817.4966169716755,3.08679579808239,0.20000000000000007,19.71000000000028,37.74399875465955,0.011217720564083433,129.03042540007738,2.836363679739104
2026-07-01 10:31:25,PSO,default_objective,balanced,step,classic,None,20.0,0.2617993877991494,0.5235987755982988,0.01,0.01,0.005,0.01,2,0.7707900571947311,46.36611339886255,32.39508454601593,26.073756953528317,47.23576927813703,99.64946134747747,5.451303958343567,12.050882339477539,0.9800000000000006,,16.940172535208355,0.02417282130487511,4795.50964316268,1.868142904666036,0.21000000000000008,19.58000000000026,31.057411728854294,0.004735158142258666,223.78773762770692,2.1050076117480123
2026-07-01 10:31:25,TPE,default_objective,balanced,step,classic,None,20.0,0.2617993877991494,0.5235987755982988,0.01,0.01,0.005,0.01,2,1.0056717219839855,22.057787046693356,5.613379144556562,30.232687341087107,21.652518175492443,44.71456449142723,0.6210148826278572,0.6191520690917969,4.439999999999945,,17.230397001620016,0.02641189449500264,5629.212685896461,3.8346431321640924,0.2600000000000001,,42.7159914186637,0.04255988231842062,43.98093544216862,3.673061548124411
2026-07-01 10:31:25,CMA-ES,default_objective,balanced,step,classic,None,20.0,0.2617993877991494,0.5235987755982988,0.01,0.01,0.005,0.01,3,1.3813555348691458,65.53222616757036,43.68687387124407,34.30001360935439,41.696115202789215,75.5786149513036,27.575799173365457,0.9972825050354004,1.2500000000000009,,15.69423138414589,0.015864587862808532,6433.92733024321,2.35697500066342,0.6200000000000004,19.080000000000183,36.25418085166095,0.017921366464531796,3968.9709534912663,2.3683595579598204
